model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,germeval,sb10k,scala_de,germanquad
deepset/gbert-large,337,31,512,True,False,19109,1.17,80.3,65.12,75.12,28.91
FacebookAI/xlm-roberta-large,561,250,512,True,False,17897,1.34,80.64,63.02,54.83,29.09
google/rembert,575,250,512,True,False,11736,1.34,77.62,60.65,62.6,33.62
sentence-transformers/use-cmlm-multilingual,472,501,512,True,False,30231,1.49,77.03,59.5,59.3,26.67
intfloat/multilingual-e5-large,560,250,512,True,False,6732,1.54,79.73,64.78,47.24,28.11
"meta-llama/Meta-Llama-3-70B (few-shot, val)",70554,128,8221,True,False,312,1.57,69.04,63.51,37.41,38.29
gwlms/deberta-base-dewiki-v1,112,32,512,True,False,18084,1.63,79.67,50.9,75.16,18.57
setu4993/LaBSE,471,501,512,True,False,25418,1.67,79.44,58.65,52.19,23.66
upstage/SOLAR-10.7B-v1.0 (few-shot),10732,32,4096,True,False,3780,1.67,68.11,59.79,35.45,37.27
"gpt-4-1106-preview (few-shot, val)",-1,100,127998,True,False,576,1.7,68.94,57.46,49.58,30.04
gwlms/teams-base-dewiki-v1-discriminator,111,32,512,True,False,30608,1.71,79.59,47.85,68.48,19.9
microsoft/mdeberta-v3-base,278,251,512,True,False,20637,1.75,77.42,50.9,59.38,20.28
dbmdz/bert-base-german-cased,111,31,512,True,False,37150,1.82,78.54,53.91,59.23,13.71
dbmdz/bert-base-german-uncased,111,31,512,True,False,36020,1.83,77.55,56.48,63.49,12.39
gwlms/bert-base-dewiki-v1,111,32,512,True,False,30650,1.86,80.53,45.61,67.09,16.61
intfloat/multilingual-e5-base,278,250,512,True,False,14965,1.87,74.79,63.29,45.32,16.42
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",70554,128,8221,True,False,1673,1.87,75.2,54.38,36.59,26.9
deepset/gbert-base,111,31,512,True,False,37268,1.9,80.09,59.8,47.48,14.39
facebook/xlm-v-base,778,902,512,True,False,25396,1.92,76.45,58.25,34.43,21.08
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),8030,128,8192,True,False,4909,1.92,68.18,58.33,29.12,28.68
Nexusflow/Starling-LM-7B-beta (few-shot),7242,32,8192,False,False,5876,1.93,65.01,51.8,36.18,32.12
"VAGOsolutions/SauerkrautLM-7b-HerO (few-shot, val)",7242,32,32768,False,True,2477,1.93,59.7,60.22,35.99,29.68
VAGOsolutions/SauerkrautLM-7b-LaserChat (few-shot),7242,32,8192,False,False,2387,1.93,64.73,51.08,36.46,33.3
"gpt-3.5-turbo-0613 (few-shot, val)",-1,100,4095,True,False,921,1.97,61.5,55.5,38.96,30.2
VAGOsolutions/FC-SauerkrautLM-7b-beta (few-shot),-1,32,8192,False,False,2160,1.98,56.7,53.39,35.64,34.22
meta-llama/Meta-Llama-3-8B (few-shot),8030,128,8192,True,False,4687,2.02,56.0,56.4,22.01,35.39
occiglot/occiglot-7b-de-en-instruct (few-shot),7242,32,32768,False,False,1584,2.02,55.76,55.91,22.47,35.95
"cstr/Spaetzle-v8-7b (few-shot, val)",7242,32,32768,False,True,5980,2.04,58.9,61.34,31.58,24.91
"mlabonne/NeuralBeagle14-7B (few-shot, val)",7242,32,8192,False,True,2549,2.08,64.81,59.6,27.06,25.22
mistralai/Mistral-7B-v0.1 (few-shot),7242,32,32768,True,False,2657,2.15,55.37,54.27,23.12,31.89
ZurichNLP/unsup-simcse-xlm-roberta-base,277,250,512,True,False,34520,2.16,74.5,58.23,34.74,11.19
senseable/WestLake-7B-v2 (few-shot),7242,32,32768,False,False,5993,2.17,64.38,54.44,26.03,25.68
alpindale/Mistral-7B-v0.2-hf (few-shot),7242,32,32768,True,False,1841,2.21,55.32,52.49,24.34,31.54
occiglot/occiglot-7b-de-en (few-shot),7242,32,32768,True,False,1992,2.23,48.11,54.96,21.57,31.49
jhu-clsp/bernice,277,250,128,True,False,5567,2.24,72.25,62.0,48.1,0.0
"mlabonne/AlphaMonarch-7B (few-shot, val)",7242,32,8192,False,True,5340,2.25,63.36,59.8,22.98,20.96
microsoft/xlm-align-base,277,250,512,True,False,14744,2.26,79.38,58.58,15.34,16.58
Twitter/twhin-bert-base,279,250,512,True,False,11514,2.31,70.35,55.03,43.87,2.81
cardiffnlp/twitter-xlm-roberta-base,277,250,512,True,False,34475,2.31,74.89,63.01,36.6,0.65
clips/mfaq,277,250,128,True,False,5591,2.31,76.68,59.51,32.54,1.53
occiglot/occiglot-7b-eu5-instruct (few-shot),7242,32,32768,False,False,2088,2.32,52.63,43.16,27.09,34.01
occiglot/occiglot-7b-eu5 (few-shot),7242,32,32768,True,False,2219,2.32,51.39,47.3,21.83,31.55
seedboxai/KafkaLM-7B-German-V0.1-DPO (few-shot),7242,32,4096,False,False,6070,2.33,48.92,52.57,20.74,32.87
seedboxai/KafkaLM-7B-German-V0.1 (few-shot),7242,32,32768,True,False,6065,2.33,48.35,52.51,20.36,32.88
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),7242,32,32768,True,False,5054,2.38,50.66,54.79,20.17,27.86
Twitter/twhin-bert-large,562,250,512,True,False,9707,2.39,74.36,53.52,22.26,11.68
RuterNorway/Llama-2-13b-chat-norwegian (few-shot),-1,32,4096,False,False,7778,2.43,56.71,49.77,19.92,27.87
sentence-transformers/paraphrase-xlm-r-multilingual-v1,277,250,512,True,False,14994,2.45,71.8,57.71,38.75,0.3
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),7242,32,32768,False,False,5443,2.47,51.79,47.27,22.15,24.35
